,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Easy gingerbread affogato,"5 pieces gingerbread (we love Grasmere Gingerbread), 100ml hot espresso coffee (or other strong black coffee), 100ml Kahlúa or other coffee liqueur, 8 scoops good-quality vanilla ice cream (about 400ml)",437.0,15.8,7.7,5.9,53.1,35.2,1.0,0.5,Italy
1,Sugar and spice chocolate rochers,"100g blanched almonds, 100g blanched hazelnuts, 100g pecan halves, 300g dark chocolate (60-70 per cent cocoa), roughly chopped, 100g golden caster sugar, 1/2 tsp freshly grated nutmeg, 1/2 tsp ground cinnamon, 4 cardamom pods, seeds ground in a pestle and mortar, 1/2 tsp gold edible shimmer powder, Large pinch flaky sea salt, Large baking sheet lined with non-stick baking paper",133.0,9.1,2.2,2.3,10.0,9.7,0.8,0.1,Italy
2,"Sformato with roast grapes, radicchio and olives","30g butter, 30g plain flour, 450ml whole milk, 250g potato, peeled and cut into 2cm chunks, 250g cauliflower, cut into 2cm chunks, 250g bag baby leaf spinach, 140g bag wild rocket, plus extra to serve, 250g ricotta, 4 medium free-range eggs, beaten, Whole nutmeg for grating, 100g vegetarian parmesan-style cheese, grated, 200g red grapes, 1 small radicchio, shredded, 100g fat green olives, pitted and smashed, 2 fresh rosemary sprigs, 3 tbsp pine nuts, Runny honey to drizzle, Extra-virgin olive oil to drizzle, Balsamic vinegar to drizzle, Large handful rocket, 6 x 10cm springform cake tins (see tip)",460.0,28.4,12.4,23.7,25.2,13.3,4.4,1.3,Italy
3,"Kale, leek and mushroom lasagne with blue cheese topping","200g curly kale or cavolo nero, shredded, tough stalks removed, 2 leeks, washed, trimmed and cut into 1cm rounds, 2 small knobs of butter, 2 tbsp olive oil, 400g chestnut mushrooms, sliced, 2 garlic cloves, finely chopped , Small bunch fresh thyme, leaves picked, 175g fresh lasagne sheets, 2-3 tbsp coarse fresh white breadcrumbs, 800ml whole milk, 4 bay leaves, 1 onion, sliced, 1 celery stick, sliced , A few black peppercorns, 75g unsalted butter, 75g plain flour, 75g dorset blue vinny cheese, crumbled (see tip) , 1 tbsp dijon mustard , Deep 30cm x 24cm baking dish",368.0,20.4,10.7,13.2,30.3,9.1,5.1,0.6,Italy
4,Apricot and pistachio cantuccini,"50g blanched almonds, 25g shelled unsalted pistachios, 225g plain flour, ½ tsp baking powder, 60g Billington’s unrefined golden caster sugar, 4 tbsp Billington’s unrefined golden icing sugar, 50g dried apricots, roughly chopped, 2 large free-range eggs, lightly beaten, plus 1 free-range egg white, beaten, to glaze, 1-2 large baking sheets lined with non-stick baking paper",77.0,2.3,0.3,0.8,10.9,3.6,0.8,0.1,Italy
5,Vitello Tonnato (sliced veal antipasto),"Splash olive oil for frying, 400g British rose veal escalopes, at room temperature (see Know-how), 4 red chicory heads, leaves separated and halved, 60g wild rocket, A few fresh flatleaf parsley sprigs, leaves roughly chopped , Parmesan shavings to serve, 1 medium free-range egg yolk , 1 tsp white wine vinegar, 2 anchovy fillets in oil, finely chopped , 1 tbsp capers, plus extra to serve , ½ tsp dijon mustard, ½ x 145g can top quality, line-caught tuna in olive oil, drained , Finely grated zest and juice ½ lemon, 50ml extra-virgin olive oil, 50ml light olive oil, Food processor",191.0,12.4,2.1,18.0,1.4,0.4,0.8,0.2,Italy
6,Roman-style gnocchi with sausage ragù,"400ml whole milk, 50g butter, cubed, 100g freshly grated parmesan, 200g semolina, 2 medium free-range eggs, beaten, 1 tbsp olive oil , 1 small carrot, grated , 1 stick celery, finely chopped, 450g British free-range sausagemeat, 500g jar passata with onion and garlic, 3 tbsp chopped black olives, 3 fresh basil sprigs, stems chopped and leaves separated ",577.0,36.8,16.4,26.0,34.2,8.4,2.7,2.1,Italy
7,Turkey bolognese bake,"750g new potatoes (halved if large), 1 tbsp olive oil, 25g butter, 1 chopped onion, 2 chopped celery sticks, 2 chopped carrots, 500g British free-range turkey thigh mince, 3 crushed garlic cloves, 1 tbsp tomato purée, 2 tsp dried Mediterranean seasoning (we used Bart), 400g tin of chopped tomatoes, 400ml chicken stock, 75g mixed grated mozzarella and cheddar, Fresh flatleaf parsley",473.0,16.8,8.1,37.5,39.3,11.7,7.1,0.9,Italy
8,Italian turkey burgers,"500g turkey mince, 1 chopped red onion, 1 crushed garlic clove, Grated zest 1 lemon, 1 red chilli, 1 large free-range egg, 40g fresh breadcrumbs, Olive oil, 125g mozzarella, 1 fennel bulb, 1 tbsp capers, 4 halved ciabatta rolls, sesame seeds, sliced spring onions, basil pesto",525.0,21.2,6.9,40.0,41.4,5.4,4.5,1.3,Italy
9,Harissa-spiced meatballs with houmous and pomegranate seeds,"500g turkey mince, 1 tbsp harissa paste, 2 banana shallots, 1 garlic clove, 40g fresh breadcrumbs, 1 medium free-range egg, 200g couscous, 200ml boiling water, 100g smooth houmous, 40g toasted pine nuts, A handful of soft herbs, 100g pomegranate seeds",,,,,,,,,Italy
10,Penne with lentils and mushrooms,"200g castelluccio lentils (see Know-how), 300g dried penne pasta, 4 tbsp extra-virgin olive oil, 2 whole garlic cloves, peeled, 160g chestnut mushrooms, thinly sliced, 200g passata , 20g parmesan or vegetarian alternative, freshly grated, Finely chopped fresh flatleaf parsley to serve",586.0,33.4,8.5,23.7,46.1,3.1,3.3,1.0,Italy
11,Ligurian swiss chard pansotti in walnut sauce,"200g Italian ‘00’ pasta flour, sifted, 75-100ml lukewarm water, 1 medium free-range egg, beaten, 400g swiss or rainbow chard, 2 tbsp extra-virgin olive oil, 2 garlic cloves, 100g ricotta, 40g parmesan or vegetarian alternative, grated, A few fresh thyme leaves, plus extra to garnish , 1 medium free-range egg, beaten, 20g bread, 5 tbsp whole milk, 85g walnut halves, 1 whole garlic clove, peeled , Few fresh thyme leaves, 10g pine nuts , 20g freshly grated parmesan or vegetarian alternative Good to have…, Pasta machine, food processor",586.0,33.4,8.5,23.7,46.1,3.1,3.3,1.0,Italy
12,Rigatoni cake,"Butter for greasing, Breadcrumbs for lining the pan, 325g rigatoni pasta, Handful fresh basil leaves, finely chopped, 250g hard mozzarella, cut into small cubes – we used a block of Galbani Mozzarella Cucina, 50g parmesan or vegetarian alternative, grated, plus extra to serve , 2 tbsp extra-virgin olive oil, 1 whole garlic clove, bashed, 2 x 400g tins chopped plum tomatoes, Small handful fresh basil leaves, plus extra to serve, 20cm round, loose-bottomed or springform cake tin, base and sides lined with non-stick baking paper",420.0,16.4,8.4,19.3,46.8,6.2,3.8,0.6,Italy
13,Tomato and vegetable sauce,"4 tbsp extra-virgin olive oil, ½ onion, finely chopped, ½ celery stalk, finely chopped, 1 small carrot, finely chopped, ½ courgette finely chopped, 2 x 400g tins chopped plum tomatoes, 1 vegetable stock pot or cube (check it’s vegan, if necessary)",113.0,7.8,1.1,1.9,7.7,6.9,2.1,0.9,Italy
14,Cannelloni filled with swiss chard,"4 tbsp extra-virgin olive oil, 1 small onion, finely chopped, 2 x 400g cans chopped tomatoes, Small handful fresh basil leaves, 30g butter, ½ small onion, very finely chopped, 460g swiss or rainbow chard, including stalks, finely sliced,, 1 potato (about 150g), grated, 20g parmesan or vegetarian alternative, grated, plus extra for topping, 30g provolone cheese or vegetarian alternative smoked cheese, grated , 14 dried cannelloni pasta tubes, 28cm x 22cm baking dish , 150g sesame seeds",439.0,21.9,7.9,13.1,44.9,10.5,4.6,1.0,Italy
15,Baked figs with blue cheese and balsamic,"6 figs, 6 pieces of Parma ham, 50g roquefort cheese, 3 tbsp balsamic vinegar glaze, Splash of dry white wine,  Fresh basil ,  Crusty bread",,,,,,,,,Italy
16,Risi e bisi with parma ham (Italian rice and peas),"25g butter, 3 chopped shallots, 2 crushed garlic cloves, 200g arborio rice, Grana padano cheese rind (if you have one), 1.2 litres of chicken stock, 400g frozen peas, 50g grated grana padano, 4 parma ham slices, Grated lemon zest, Olive oil, Fresh basil",464.0,15.2,7.5,25.3,53.2,3.9,6.4,1.2,Italy
17,"Heirloom cherry tomatoes, burrata and herb pesto pizza","3 x pizza dough bases, 1kg mixed heirloom tomatoes, halved, quartered or sliced depending on size, 2 x 100g balls burrata or buffalo mozzarella, roughly torn, Rocket leaves and parmesan (or veggie equivalent) cheese shavings to serve, 30g mixed fresh herbs, such as basil, mint and parsley, finely chopped, 1 garlic clove, chopped, 2 tsp lemon juice, 1 tsp dijon mustard, Pinch caster sugar, 75-100ml extra-virgin olive oil, plus extra to drizzle",835.0,40.7,13.3,26.2,87.3,11.0,7.3,1.9,Italy
18,Aubergine milanese with spaghetti,"Olive oil for frying and drizzling, 1 onion, chopped, 2 garlic cloves, crushed, 400g tin chopped tomatoes, 75g plain flour, 2 free-range eggs, beaten, 100g panko breadcrumbs, 50g grated parmesan or vegetarian alternative, 2 large aubergines, sliced into 1cm rounds, 300g spaghetti, Fresh basil leaves to serve",629.0,14.8,4.6,25.0,94.6,10.2,8.8,0.7,Italy
19,Margherita pizza with chorizo,"3 x pizza dough bases (see basic pizza dough recipe), 100g chorizo, thinly sliced, 3 tbsp capers, drained, 30g pitted black olives, halved, 250g buffalo mozzarella, sliced, Handful fresh basil leaves, For the tomato ragù, 500g ripe plum tomatoes, roughly chopped, 1 large garlic clove, finely chopped , 2 tbsp olive oil, ¼-½ tsp sugar",850.0,39.9,17.4,36.5,83.0,6.0,6.8,3.8,Italy
20,Courgette and blue cheese pizza,"1 medium courgette, trimmed, Finely grated zest 1 lemon, 1 tbsp lemon olive oil (see tip), plus extra to serve, 3 x pizza dough bases (see basic pizza dough recipe), Large handful fresh mint leaves, 150g roquefort (or vegetarian alternative), crumbled, 150g buffalo mozzarella, thinly sliced, 3 tbsp shelled pumpkin seeds",834.0,39.7,19.4,36.4,79.9,1.8,5.5,3.7,Italy
21,Basic pizza dough recipe,"450g plain flour, plus extra for dusting, 450g strong white bread flour, 2 tsp fine sea salt, 1 tbsp dried active yeast, 1 tbsp olive oil, plus extra for greasing",383.0,2.5,0.5,11.8,76.3,0.5,3.7,1.1,Italy
22,Broccoli and walnut panzanella,"1 head broccoli, 4 tbsp olive oil, Finely grated zest and juice 1 lemon, ¼ tsp chilli flakes, 200g leftover sourdough bread, torn into 3cm chunks, 75g shelled walnuts, toasted in a dry pan, 1 garlic clove, crushed, 400g mixed tomatoes, halved or sliced if large, Handful fresh flatleaf parsley, chopped",414.0,25.0,3.2,12.7,30.5,6.0,8.2,0.4,Italy
23,"Spring prawn, pea and mint risotto","1.25 litres fish or shellfish stock, 70g butter, Olive oil for frying and drizzling, 1 onion, finely chopped, 1 fennel bulb, finely chopped, 400g risotto rice, 175ml dry white wine, 24 large sustainable raw king prawns, shells removed, de-veined, tails left on (see tips below), Pinch chilli flakes, Grated zest and juice 1 lemon, 200g petits pois, 75g pecorino, freshly grated, ½ bunch fresh mint, leaves picked and finely sliced, Fresh pea shoots to serve",530.0,19.7,9.4,24.3,61.9,4.1,4.0,1.1,Italy
24,Surf and turf pasta,"80g linguine, 1 chorizo cooking sausage (about 50g), 2 tbsp olive oil, 6 sustainable raw tiger prawns, peeled, Small handful watercress, A few shavings manchego or mature cheddar",751.0,38.6,9.3,40.5,58.1,2.1,4.9,3.1,Italy
25,Focaccia pugliese with fresh tomatoes,"2 medium (about 350g) fluffy potatoes, such as maris piper or king edward, peeled and cut into 3-4cm chunks, 800g plain flour, 1 tbsp fine sea salt, 7g fast-action dried yeast, 1 tsp caster sugar, 4 tbsp extra-virgin olive oil, plus extra to drizzle, 600ml lukewarm water, 1 tsp sea salt flakes, 250g mixed heritage tomatoes, sliced 0.5cm thick, Deep 30cm x 40cm baking tray, greased with olive oil, the base lined with non stick baking paper",317.0,5.6,1.0,7.6,57.4,1.2,3.5,0.8,Italy
26,Crab linguine,"225g ’00’ flour (Italian-style flour, from the baking section of large supermarkets), plus extra to dust, ¼ tsp salt, 2 medium free-range eggs, plus 3 medium free-range egg yolks, Semolina for dusting, Olive oil for frying, 1 garlic clove, finely grated, 1 red chilli, deseeded and finely chopped, Grated zest and juice 1-2 lemons, 200g picked white crabmeat, 2 tbsp fresh flatleaf parsley, finely chopped, plus extra to sprinkle, Extra-virgin olive oil to drizzle, Pasta machine with a linguine or tagliatelle attachment (see tip)",196.0,6.8,1.5,11.1,21.9,0.4,1.4,0.4,Italy
27,Baked ‘nduja and burrata dip with olive breadsticks,"90g ’nduja (see Know-how), Finely grated zest 1 orange, 460g jar roasted red peppers, drained, Olive oil to drizzle and grease, 3 garlic cloves, finely sliced, 4 spring onions, finely sliced, 50g pecorino, 100g burrata, Small handful chopped fresh flatleaf parsley to serve, 500g strong white bread flour, plus extra for dusting, 2 tsp fine sea salt, 1 tsp caster sugar, 10g fast-action dried yeast, 4 tbsp olive oil, 300ml lukewarm water, 75g green nocellara olives, pitted and finely chopped, Uncooked polenta for rolling, Sea salt flakes to sprinkle, Stand mixer with dough hook attachment, 2 large baking sheets; food processor",437.0,19.0,6.1,15.1,50.1,2.8,3.2,2.6,Italy
28,Affogato parfait,"300ml double cream, 150ml whole milk, 6 large free-range egg yolks, plus 1 white, 60g caster sugar, 4 tbsp espresso coffee powder, 500ml good quality vanilla ice cream (we like Häagen-Dazs) , 12 amaretti biscuits, 2 tbsp rum (see tip), 2lb/900g loaf tin lined with cling film overhanging the edges of the tin; electric mixer",378.0,27.1,13.1,7.3,23.8,23.4,1.4,0.1,Italy
29,Herby gooseberry focaccia,"500g strong white bread flour, plus extra to dust, 1 tbsp sea salt, 7g sachet dried yeast, 1 tsp caster sugar, 6 tbsp extra-virgin olive oil, plus extra to drizzle, A few sprigs each fresh rosemary, sage and thyme, ½ garlic bulb, broken into cloves (unpeeled), 175g fresh gooseberries (see tip), Mature cheddar or other hard cheese, or sliced cured meat to serve (optional), Large baking tray or roasting tray (about 25cm x 35cm), lightly greased with oil; pestle and mortar",388.0,18.9,7.8,14.3,39.1,1.2,2.4,2,Italy
30,"Roast pepper, anchovy and ricotta pizza","3 thickly sliced mixed sweet peppers, 1 tbsp olive oil, Flour, for dusting, 2 x 220g defrosted pizza dough balls (we like Northern Dough Co, from Sainsbury’s, Waitrose, Ocado, Booths and Wholefoods), 250g ricotta, 12 anchovy fillets, 2-3 tbsp capers, 25g parmesan, Fresh basil, to serve",288.0,9.9,4.4,13.4,35.5,4.7,1.8,1.6,Italy
31,Chorizo and ricotta penne,"300g penne pasta, 200g cooking chorizo, sausages squeezed out of the skins (we used Unearthed, from Waitrose), 1 small bunch fresh basil, 60g rocket, 175g ricotta, 2 tbsp olive oil",587.0,27.7,9.9,26,56.2,2.9,4.5,1.9,Italy
32,Negroni punch,"2 sliced oranges, 4 tbsp caster sugar, 150ml dry gin, 250ml Campari, 250ml sweet (red) vermouth, 1.5 litres chilled soda water (or 750ml soda water and 750ml prosecco)",,,,,,,,,Italy
33,Lighter caponata,"2 aubergines, quartered lengthways, 1 medium red onion, finely sliced, 1 celery stick, cut into 1cm chunks, Cooking oil spray, 6 plum tomatoes, roughly chopped (or use a 400g can of chopped tomatoes), 2 garlic cloves, crushed, 3 tbsp olive oil, 1 tbsp red wine vinegar, 1 tsp dried marjoram or oregano, 80g large pitted green olives (we used gordal, in a cumin and lemon dressing), sliced, 2 tbsp capers, drained, 20g golden raisins, 20g fresh basil, leaves picked and roughly torn, 1 tbsp pine nuts, lightly toasted in a dry pan (optional)",248.0,18.6,2.6,3.8,13.1,11.7,6.6,1.2,Italy
34,Aperol spritz,"750ml bottle of prosecco, Bag of ice, Bottle of Aperol, Bottle of soda water, Slice of orange",,,,,,,,,Italy
35,Classic negroni cocktail,"Handful ice cubes, 40ml gin, 40ml Campari, 40ml sweet red vermouth (such as Martini Rosso), Orange slice",,,,,,,,,Italy
36,Poached peaches with zabaglione,"4 ripe peaches, 350g caster sugar, 1 vanilla pod, split lengthways, Juice 1/2 lemon, 4 large free-range egg yolks, 50g caster sugar, 120ml sweet marsala wine (see Jamie’s tip)",260.0,5.8,1.6,4.5,37.8,37.8,3.0,trace,Italy
37,"Chicken with grilled peaches, pistachio mayonnaise and sweet and sour peppers","2 firm but ripe peaches, sliced, 1 tbsp dried oregano, 60g plain flour, 1 tsp sea salt flakes, Finely grated zest and juice 1 lemon, 1/2 tsp freshly ground black pepper, 4 British free-range skinless, boneless chicken breasts, 8 tbsp extra-virgin olive oil, 2 garlic cloves, whole, peeled, 200ml dry white wine, 2 free-range egg yolks, 1 tsp mustard, 1 tsp white wine vinegar, 200ml vegetable oil, 50g unsalted pistachios, whizzed to a powder in a food processor, Juice 1/2 lemon, 4 tbsp extra-virgin olive oil, 1 large onion, finely chopped, 2 each large red, yellow and green peppers, cored, deseeded and cut into thin strips (6 in total), 2 tbsp white wine or cider vinegar, 1 tsp sea salt flakes, Handful fresh sage leaves, sliced",728.0,54.1,6.3,30.3,20.0,11.4,6.5,1.9,Italy
38,Mini sweet lasagnes,"125g dried lasagne pasta sheets made with egg, 500g ripe vine tomatoes, bottoms scored with a cross (see tip), 150g brown sugar, 1 tsp ground cinnamon, 1 tbsp lemon juice (use the zest in the sweet béchamel sauce, below), 600ml whole milk, plus extra for topping up, 1 vanilla pod, split, Finely grated zest 1 lemon, 50g unsalted butter, plus extra for greasing, 50g plain flour, 1 tbsp brown sugar, 1 tsp freshly grated nutmeg, 50g white chocolate, shaved into small curls using a vegetable peeler, Small bunch fresh mint leaves, Iced water, 6 x 200ml ramekins",736.0,16.1,9.4,17.2,127.4,39.1,6.1,0.2,Italy
39,"Venere nero rice with chicory, tuna and orange cream","500g venere nero (black venus) rice (see Know-how), 8 tbsp extra-virgin olive oil, plus extra to drizzle, 2 shallots, finely chopped, 300g top-quality tinned tuna in olive oil, drained, 400g tin cannellini beans, drained and rinsed, 2 tsp fennel seeds, 2 tbsp white wine vinegar, 1 tbsp mascarpone, 10 capers, drained and rinsed, 6 black peppercorns, crushed, Juice 2 oranges, 2 heads chicory, roughly chopped, Small handful fresh coriander leaves, 1 tsp whole pink peppercorns",615.0,23.8,4.1,23.523.5,73.5,5.3,6.3,0.4,Italy
40,"Gnocchi with roasted hazelnuts, garlic and anchovy cream","175g plain flour, 400g leftover mash, at room temperature, 1 free-range egg yolk, beaten, 30g butter, 1 tbsp light olive oil, 3 garlic cloves, crushed, 4-6 anchovy fillets, roughly chopped, 100ml single cream, 30g parmesan, shaved with a vegetable peeler, 2 handfuls rocket leaves, 2 tsp shelled hazelnuts, toasted in a pan and roughly chopped",626.0,31.7,16.0,16.2,66.6,2.6,4.8,1,Italy
41,"Smoky orange, roasted tomato and olive pappardelle","8 ripe tomatoes, roughly chopped, 1 orange, cut into 6 wedges, 1 tbsp light olive oil, ¼ tsp sweet smoked paprika, 4 garlic cloves, thinly sliced, 2 tsp maple syrup, 300g egg-free pappardelle or other dried pasta, 150g pitted green olives, roughly chopped, 2 large handfuls mixed herbs or rocket, roughly chopped, 50g mixed seeds or roughly chopped nuts (such as almonds, hazelnuts or pine nuts) , 2 tbsp extra-virgin olive oil",529.0,21.2,3.2,14.9,65.6,10.7,8.1,1,Italy
42,Tortellini drop soup,"2 tbsp olive oil, 1 onion, finely chopped, 2 garlic cloves, finely chopped, 2 tbsp tomato purée, 1 tsp paprika, 2 carrots, cut into bite-size pieces, 2 celery sticks, trimmed and cut into bite-size pieces, 400g tin chopped tomatoes, 1 litre good-quality vegetable stock, 250g packet good-quality fresh tortellini of choice, 400g tin chickpeas, drained and rinsed, Handful basil leaves, Grated parmesan (or vegetarian alternative), micro herbs (optional, see food team’s tip), extra-virgin olive oil",318.0,11.5,3.3,11.5,37.6,12.4,9.2,0.6,Italy
43,All-in-one lasagne,"250g wholegrain lasagne sheets (see know how), Large handful grated cheese (cheddar or whatever you like), Green salad with a sharp vinaigrette, to serve, 3 tbsp olive oil, 2 onions, finely chopped, 3 garlic cloves, finely chopped, 2 tbsp tomato purée, 2 tbsp small or non-pareil capers, 3 × 400g tins chopped tomatoes, 250g white cabbage, roughly chopped, 2 handfuls fresh basil, leaves picked and roughly chopped, 250g pack cooked puy lentils, 250g crème fraîche (see tip), 20cm x 30cm baking dish",570.0,30.1,16.0,19,49.6,15.3,12.1,0.4,Italy
44,Chickpea linguine with samphire and lemon,"360g linguine, 2 tbsp extra-virgin olive oil, 5 sliced garlic cloves, 1 finely chopped red chilli, Bunch of chopped fresh parsley stalks (reserve the leaves for later), 125ml dry white wine, 90g fresh samphire, 400g tin of drained and rinsed chickpeas,  A squeeze of lemon juice, Chopped reserved fresh parsley leaves",516.0,11.7,1.6,16.6,75.7,2.5,9.6,0.5,Italy
45,Celeriac and rocket sformato,"500g celeriac, trimmed and peeled, Olive oil for roasting, 30g unsalted butter, 30g plain flour, 450ml whole milk, 250g baby leaf spinach, 250g wild rocket, 250g ricotta, 3 large free-range eggs, beaten, Whole nutmeg for grating, 100g vegetarian parmesan-style cheese, grated, 2 fresh tarragon sprigs, leaves picked and chopped, 75g pine nuts, toasted in a dry pan, Extra-virgin olive oil for drizzling, 18cm springform cake tin, greased and the base lined with non-stick baking paper",335.0,25.6,9.5,16.3,7.8,4.6,4.0,0.6,Italy
46,Torta caprese,"210g unsalted butter, cubed and softened, 210g caster sugar, 210g ground almonds, 4 large free-range eggs, 40g cocoa powder, sifted together with 1 tsp baking powder, 250g mascarpone, Finely grated zest 1 large orange, 30g icing sugar, plus extra to dust, 1 tbsp toasted flaked almonds, 25cm springform cake tin, greased and the base lined with non-stick baking paper",463.0,37.0,17.1,9.6,22.7,21.7,0.6,0.2,Italy
