,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Root vegetable and lentil tagine,"1 tbsp light olive oil, About 900g mixed root veg (see tip), 2 tbsp dried harissa spice mix (we used Bart), Large handful fresh parsley, stalks and leaves chopped separately , 200g dried green lentils, 2 x 400g tins cherry tomatoes, 700ml gluten-free vegetable stock, 1 preserved lemon, flesh and pith discarded, peel finely sliced, 6 prunes, stoned and quartered, 1 small cauliflower, cut into florets, any small leaves reserved, Unsweetened coconut yogurt to serve, Cooked rice or couscous to serve",252.0,3.9,0.6,13.3,34.8,18.1,12.2,0.3,Morocco
1,Spicy beef harira,"2 tbsp olive oil, 250g British beef mince, 1 chopped onion, 1 crushed garlic clove, 400g tin of chopped tomatoes, 1 tbsp ras el hanout spice mix, 2 tsp harissa paste, 1 litre beef stock, 75g puy lentils,  75g giant couscous, 100g sliced green olives, Large handful of freshly chopped coriander, Dollop of greek yogurt, a few more sliced olives, chopped fresh coriander, to serve",412.0,20.7,6.7,29.6,24.6,7.1,4.4,1.7,Morocco
2,"Lamb, harissa and feta burgers","Glug of oil, 1 finely chopped onion, 1 crushed garlic clove, 2 tbsp harissa paste, 500g British free-range lamb mince, 1 medium free-range egg, ½ x 200g pack of feta, crumbled , Large handful of chopped fresh coriander, 4 brioche buns,, 4 lettuce leaves, 4 slices of tomato, 4 slices of cucumber, 4 tbsp mayonnaise, 1 tbsp harissa",674.0,43.9,15.0,35.7,32.8,9.2,2.4,1.5,Morocco
3,Leftover chicken tagine,"½ tbsp olive oil, 1 cinnamon stick (or ¼ tsp ground cinnamon), 1 tsp ground cumin, 1½ tbsp ras el hanout, ⅓ quantity of chicken stew, 1 preserved lemon, pulp discarded and skin finely sliced, 75g dried apricots, chopped, 400g tin chopped tomatoes, 125g giant couscous, 100g baby leaf spinach, Handful shelled unsalted pistachios, toasted in a dry pan, 2 tbsp pomegranate seeds, Small bunch fresh coriander, chopped, Large casserole with a lid",580.0,12.8,1.9,32.9,77.5,28.1,11.9,2.2,Morocco
4,Vegetable tagine,"Light olive or vegetable oil for frying, 2 red onions, sliced into wedges, 2 tsp ground coriander, 2 tsp ground cumin, 2 tsp ground cinnamon, 2 garlic cloves, crushed, 20g fresh ginger, grated, 2 tbsp harissa paste, 1 small butternut squash, peeled and diced into 2cm cubes, 3 parsnips, cubed, 2 carrots, diagonally sliced, 200g dried red lentils, 2 x 400g tins cherry tomatoes, 1 litre vegetable stock, 80g dried apricots, roughly chopped, plus extra to garnish, Large bunch fresh flatleaf parsley, leaves picked and roughly chopped",273.0,4.9,0.6,11.4,40.2,19.3,10.8,0.9,Morocco
5,Knorr’s one-pot easy chicken tagine,"4 boneless chicken breasts, 1 tablespoon harissa paste, 1 large onion, sliced, 1 Knorr Chicken Stock Pot, 100g dried apricots, halved, 400g can chopped tomatoes, Couscous to serve, optional, Herbs to garnish, optional",,,,,,,,,Morocco
6,Knorr’s one-pot fruity lamb tagine,"600g diced lamb steaks, 3-4 tablespoons Ras el Hanout spice mix, 1 large onion, diced, 2-3 garlic cloves, finely sliced, 1 tablespoon runny honey, 1 Knorr Lamb Stockpot dissolved in 450ml boiling water, 100g dried apricots, halved, 400g can chopped tomatoes, Couscous to serve, optional, Handful of fresh coriander and mint leaves, roughly chopped, optional",,,,,,,,,Morocco
7,Beetroot and walnut borek,"2 whole beetroot (about 200g),  2 cinnamon sticks,  1 tsp coriander seeds, 2 bay leaves, finely grated zest ½ orange,  200ml red wine, 150ml pomegranate juice, 1½ tsp cornflour,  70g walnuts, finely chopped,  8 filo pastry sheets, 100g unsalted butter, melted, 1 cucumber, 5cm piece finely diced for garnish, the rest  roughly chopped, 1 spring onion, roughly chopped, 1 green jalapeño or other green chilli, roughly chopped, the juice of 2 limes, a small bunch of fresh flatleaf parsley, roughly chopped,  4 fresh tarragon sprigs,  leaves picked, 100ml apple juice, ½ ripe avocado, peeled, stoned and roughly chopped",616.0,32.4,11.1,11.9,57.5,13.1,4.4,0.5,Morocco
8,Spiced lamb and herby quinoa crumble,"500g lean British lamb mince, 1 tbsp light olive oil, 1 red onion, chopped, 2 tbsp plain flour, 2 tsp ground cumin, 2 tsp ground coriander, ½ tsp ground cinnamon, 1-2 green chillies, chopped, 5cm piece fresh ginger, grated, 2 fat garlic cloves, crushed, 500ml fresh chicken or lamb stock, 200ml tomato passata, Seeds ½ pomegranate, 190g uncooked quinoa, rinsed, 2 tbsp extra-virgin olive oil, 150g feta, crumbled, Zest 1 lemon, Handful fresh mint, leaves sliced, Handful fresh parsley, leaves chopped, 1 litre ovenproof dish",680.0,39.2,16.8,41.5,38.9,8.5,6.1,1.5,Morocco
9,Chermoula lamb leg steaks with minted cucumber yogurt,"Pinch of saffron , 1½ tbsp lemon juice, 1 tsp finely grated lemon zest, ½ bunch of fresh coriander, coarsely shredded , 2 garlic cloves, peeled and crushed, ½ tbsp paprika, cayenne pepper or smoked paprika, ½ tbsp lightly toasted cumin seeds , Pinch of ground ginger, Generous pinch of flaky sea salt , 25ml olive oil, 4 lamb leg steaks (90g-100g each), 1 quantity of chermoula , ½ cucumber, ½ tsp coarse salt (less if using fine), Small handful of mint leaves, 200ml Greek yogurt, 30ml extra-virgin olive oil, plus extra ",307.0,21.7,7.0,24.2,4.7,3.5,0.5,1.4,Morocco
