,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Vitello Tonnato (sliced veal antipasto),"Splash olive oil for frying, 400g British rose veal escalopes, at room temperature (see Know-how), 4 red chicory heads, leaves separated and halved, 60g wild rocket, A few fresh flatleaf parsley sprigs, leaves roughly chopped , Parmesan shavings to serve, 1 medium free-range egg yolk , 1 tsp white wine vinegar, 2 anchovy fillets in oil, finely chopped , 1 tbsp capers, plus extra to serve , ½ tsp dijon mustard, ½ x 145g can top quality, line-caught tuna in olive oil, drained , Finely grated zest and juice ½ lemon, 50ml extra-virgin olive oil, 50ml light olive oil, Food processor",191,12.4,2.1,18,1.4,0.4,0.8,0.2,Italy
1,Roman-style gnocchi with sausage ragù,"400ml whole milk, 50g butter, cubed, 100g freshly grated parmesan, 200g semolina, 2 medium free-range eggs, beaten, 1 tbsp olive oil , 1 small carrot, grated , 1 stick celery, finely chopped, 450g British free-range sausagemeat, 500g jar passata with onion and garlic, 3 tbsp chopped black olives, 3 fresh basil sprigs, stems chopped and leaves separated ",577,36.8,16.4,26,34.2,8.4,2.7,2.1,Italy
2,Turkey bolognese bake,"750g new potatoes (halved if large), 1 tbsp olive oil, 25g butter, 1 chopped onion, 2 chopped celery sticks, 2 chopped carrots, 500g British free-range turkey thigh mince, 3 crushed garlic cloves, 1 tbsp tomato purée, 2 tsp dried Mediterranean seasoning (we used Bart), 400g tin of chopped tomatoes, 400ml chicken stock, 75g mixed grated mozzarella and cheddar, Fresh flatleaf parsley",473,16.8,8.1,37.5,39.3,11.7,7.1,0.9,Italy
3,Italian turkey burgers,"500g turkey mince, 1 chopped red onion, 1 crushed garlic clove, Grated zest 1 lemon, 1 red chilli, 1 large free-range egg, 40g fresh breadcrumbs, Olive oil, 125g mozzarella, 1 fennel bulb, 1 tbsp capers, 4 halved ciabatta rolls, sesame seeds, sliced spring onions, basil pesto",525,21.2,6.9,40,41.4,5.4,4.5,1.3,Italy
4,Harissa-spiced meatballs with houmous and pomegranate seeds,"500g turkey mince, 1 tbsp harissa paste, 2 banana shallots, 1 garlic clove, 40g fresh breadcrumbs, 1 medium free-range egg, 200g couscous, 200ml boiling water, 100g smooth houmous, 40g toasted pine nuts, A handful of soft herbs, 100g pomegranate seeds",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Italy
5,Penne with lentils and mushrooms,"200g castelluccio lentils (see Know-how), 300g dried penne pasta, 4 tbsp extra-virgin olive oil, 2 whole garlic cloves, peeled, 160g chestnut mushrooms, thinly sliced, 200g passata , 20g parmesan or vegetarian alternative, freshly grated, Finely chopped fresh flatleaf parsley to serve",586,33.4,8.5,23.7,46.1,3.1,3.3,1,Italy
6,Ligurian swiss chard pansotti in walnut sauce,"200g Italian ‘00’ pasta flour, sifted, 75-100ml lukewarm water, 1 medium free-range egg, beaten, 400g swiss or rainbow chard, 2 tbsp extra-virgin olive oil, 2 garlic cloves, 100g ricotta, 40g parmesan or vegetarian alternative, grated, A few fresh thyme leaves, plus extra to garnish , 1 medium free-range egg, beaten, 20g bread, 5 tbsp whole milk, 85g walnut halves, 1 whole garlic clove, peeled , Few fresh thyme leaves, 10g pine nuts , 20g freshly grated parmesan or vegetarian alternative Good to have…, Pasta machine, food processor",586,33.4,8.5,23.7,46.1,3.1,3.3,1,Italy
7,Rigatoni cake,"Butter for greasing, Breadcrumbs for lining the pan, 325g rigatoni pasta, Handful fresh basil leaves, finely chopped, 250g hard mozzarella, cut into small cubes – we used a block of Galbani Mozzarella Cucina, 50g parmesan or vegetarian alternative, grated, plus extra to serve , 2 tbsp extra-virgin olive oil, 1 whole garlic clove, bashed, 2 x 400g tins chopped plum tomatoes, Small handful fresh basil leaves, plus extra to serve, 20cm round, loose-bottomed or springform cake tin, base and sides lined with non-stick baking paper",420,16.4,8.4,19.3,46.8,6.2,3.8,0.6,Italy
8,Tomato and vegetable sauce,"4 tbsp extra-virgin olive oil, ½ onion, finely chopped, ½ celery stalk, finely chopped, 1 small carrot, finely chopped, ½ courgette finely chopped, 2 x 400g tins chopped plum tomatoes, 1 vegetable stock pot or cube (check it’s vegan, if necessary)",113,7.8,1.1,1.9,7.7,6.9,2.1,0.9,Italy
9,Cannelloni filled with swiss chard,"4 tbsp extra-virgin olive oil, 1 small onion, finely chopped, 2 x 400g cans chopped tomatoes, Small handful fresh basil leaves, 30g butter, ½ small onion, very finely chopped, 460g swiss or rainbow chard, including stalks, finely sliced,, 1 potato (about 150g), grated, 20g parmesan or vegetarian alternative, grated, plus extra for topping, 30g provolone cheese or vegetarian alternative smoked cheese, grated , 14 dried cannelloni pasta tubes, 28cm x 22cm baking dish , 150g sesame seeds",439,21.9,7.9,13.1,44.9,10.5,4.6,1,Italy
10,Baked figs with blue cheese and balsamic,"6 figs, 6 pieces of Parma ham, 50g roquefort cheese, 3 tbsp balsamic vinegar glaze, Splash of dry white wine,  Fresh basil ,  Crusty bread",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Italy
11,Risi e bisi with parma ham (Italian rice and peas),"25g butter, 3 chopped shallots, 2 crushed garlic cloves, 200g arborio rice, Grana padano cheese rind (if you have one), 1.2 litres of chicken stock, 400g frozen peas, 50g grated grana padano, 4 parma ham slices, Grated lemon zest, Olive oil, Fresh basil",464,15.2,7.5,25.3,53.2,3.9,6.4,1.2,Italy
12,"Heirloom cherry tomatoes, burrata and herb pesto pizza","3 x pizza dough bases, 1kg mixed heirloom tomatoes, halved, quartered or sliced depending on size, 2 x 100g balls burrata or buffalo mozzarella, roughly torn, Rocket leaves and parmesan (or veggie equivalent) cheese shavings to serve, 30g mixed fresh herbs, such as basil, mint and parsley, finely chopped, 1 garlic clove, chopped, 2 tsp lemon juice, 1 tsp dijon mustard, Pinch caster sugar, 75-100ml extra-virgin olive oil, plus extra to drizzle",835,40.7,13.3,26.2,87.3,11,7.3,1.9,Italy
13,Aubergine milanese with spaghetti,"Olive oil for frying and drizzling, 1 onion, chopped, 2 garlic cloves, crushed, 400g tin chopped tomatoes, 75g plain flour, 2 free-range eggs, beaten, 100g panko breadcrumbs, 50g grated parmesan or vegetarian alternative, 2 large aubergines, sliced into 1cm rounds, 300g spaghetti, Fresh basil leaves to serve",629,14.8,4.6,25,94.6,10.2,8.8,0.7,Italy
14,Margherita pizza with chorizo,"3 x pizza dough bases (see basic pizza dough recipe), 100g chorizo, thinly sliced, 3 tbsp capers, drained, 30g pitted black olives, halved, 250g buffalo mozzarella, sliced, Handful fresh basil leaves, For the tomato ragù, 500g ripe plum tomatoes, roughly chopped, 1 large garlic clove, finely chopped , 2 tbsp olive oil, ¼-½ tsp sugar",850,39.9,17.4,36.5,83,6,6.8,3.8,Italy
15,Courgette and blue cheese pizza,"1 medium courgette, trimmed, Finely grated zest 1 lemon, 1 tbsp lemon olive oil (see tip), plus extra to serve, 3 x pizza dough bases (see basic pizza dough recipe), Large handful fresh mint leaves, 150g roquefort (or vegetarian alternative), crumbled, 150g buffalo mozzarella, thinly sliced, 3 tbsp shelled pumpkin seeds",834,39.7,19.4,36.4,79.9,1.8,5.5,3.7,Italy
16,Basic pizza dough recipe,"450g plain flour, plus extra for dusting, 450g strong white bread flour, 2 tsp fine sea salt, 1 tbsp dried active yeast, 1 tbsp olive oil, plus extra for greasing",383,2.5,0.5,11.8,76.3,0.5,3.7,1.1,Italy
17,Broccoli and walnut panzanella,"1 head broccoli, 4 tbsp olive oil, Finely grated zest and juice 1 lemon, ¼ tsp chilli flakes, 200g leftover sourdough bread, torn into 3cm chunks, 75g shelled walnuts, toasted in a dry pan, 1 garlic clove, crushed, 400g mixed tomatoes, halved or sliced if large, Handful fresh flatleaf parsley, chopped",414,25,3.2,12.7,30.5,6,8.2,0.4,Italy
18,"Spring prawn, pea and mint risotto","1.25 litres fish or shellfish stock, 70g butter, Olive oil for frying and drizzling, 1 onion, finely chopped, 1 fennel bulb, finely chopped, 400g risotto rice, 175ml dry white wine, 24 large sustainable raw king prawns, shells removed, de-veined, tails left on (see tips below), Pinch chilli flakes, Grated zest and juice 1 lemon, 200g petits pois, 75g pecorino, freshly grated, ½ bunch fresh mint, leaves picked and finely sliced, Fresh pea shoots to serve",530,19.7,9.4,24.3,61.9,4.1,4,1.1,Italy
19,Surf and turf pasta,"80g linguine, 1 chorizo cooking sausage (about 50g), 2 tbsp olive oil, 6 sustainable raw tiger prawns, peeled, Small handful watercress, A few shavings manchego or mature cheddar",751,38.6,9.3,40.5,58.1,2.1,4.9,3.1,Italy
